date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url
2024-07-26,33,FE!N (feat. Playboi Carti),Travis Scott,89.0,191700,album,19,2023-07-28,True,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
2023-09-19,10,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,,222369,single,1,2023-07-13,False,https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e
2024-11-24,2,APT.,ROSÉ & Bruno Mars,98.0,169917,single,1,2024-10-18,False,https://i.scdn.co/image/ab67616d0000b273f8c8297efc6022534f1357e1
2024-03-23,14,,Xavi,95.0,172264,single,1,2023-11-30,False,https://i.scdn.co/image/ab67616d0000b2731501c770de50a22b25d67611
2023-12-06,18,QLONA,KAROL G,93.0,172797,album,9,2023-08-10,True,https://i.scdn.co/image/ab67616d0000b273d026bf9d7780f6a1267b4d03
2024-11-18,28,I Wanna Be Yours,Arctic Monkeys,90.0,183956,album,12,2013-09-09,False,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
2023-06-22,14,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,,219453,album,13,2023-06-02,False,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f
2024-06-25,6,MILLION DOLLAR BABY,Tommy Richman,,155151,single,2,2024-04-26,False,https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f
2023-08-18,24,LADY GAGA,Peso Pluma,94.0,212878,album,17,2023-06-29,True,https://i.scdn.co/image/ab67616d0000b2732fb583ed96f8f35cbf2897ba
2024-06-07,46,Without Me,Eminem,87.0,290320,album,20,2002-05-26,True,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
2023-12-22,14,Underneath the Tree,Kelly Clarkson,,229640,album,14,2013-10-29,False,https://i.scdn.co/image/ab67616d0000b273f54a315f1d2445791fe601a7
2024-09-03,13,Too Sweet,Hozier,88.0,251424,album,20,2024-03-22,False,https://i.scdn.co/image/ab67616d0000b2733e1b212546dac35443735241
2024-06-26,8,Too Sweet,Hozier,87.0,251424,album,20,2024-03-22,False,https://i.scdn.co/image/ab67616d0000b2733e1b212546dac35443735241
2023-05-24,14,See You Again (feat. Kali Uchis),"Tyler, The Creator",94.0,180386,album,14,2017-07-21,True,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3
2023-08-19,22,MI EX TENÍA RAZÓN,,77.0,154374,album,9,2023-08-10,False,https://i.scdn.co/image/ab67616d0000b273d026bf9d7780f6a1267b4d03
2024-06-26,20,Lose Control,Teddy Swims,,210688,album,10,2023-09-15,False,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace
2024-01-09,36,Murder On The Dancefloor,Sophie Ellis-Bextor,78.0,230013,album,15,2002-06-06,False,https://i.scdn.co/image/ab67616d0000b273b736151ed1c04f2d41d5f69e
2023-09-21,9,bad idea right?,,91.0,184783,album,12,2023-09-08,True,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
2024-02-12,50,Daylight,David Kushner,94.0,212953,single,1,2023-04-14,False,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
2024-11-22,43,,The Goo Goo Dolls,87.0,289533,album,13,1998,False,https://i.scdn.co/image/ab67616d0000b273eda9478c39a21e1cdc6609ca
